ERR,shotgun_id,nKO,spearman,jaccard
ERR1456791,BulkRAG2,2388,0.774568814476275,0.732620320855615
ERR1456792,BulkRAG3,2388,0.797976247646504,0.773576309794989
ERR1456793,BulkTP1,2388,0.764089801087742,0.773191094619666
ERR1456794,BulkTP2,2388,0.794624738775532,0.812089356110381
ERR1456795,BulkTP3,2388,0.796891998293587,0.816696113074205
ERR1456796,RAG1,2388,0.794539754415523,0.797224709042077
ERR1456797,RAG10,2388,0.763243531229493,0.757290686735654
ERR1456798,RAG12,2388,0.794699789562208,0.78558476881233
ERR1456799,RAG2,2388,0.792633712317395,0.773090586145648
ERR1456800,RAG3,2388,0.801474836228764,0.8
ERR1456801,RAG4,2388,0.782384084103914,0.793275783734666
ERR1456802,RAG5,2388,0.788276783050707,0.797993616051072
ERR1456803,RAG6,2388,0.772337318786862,0.773247824095282
ERR1456804,RAG7,2388,0.775780204578119,0.800632911392405
ERR1456805,RAG8,2388,0.799723553369788,0.803345388788427
ERR1456806,RTP1,2388,0.769660602185875,0.776659038901602
ERR1456807,RTP10,2388,0.785398834849019,0.762483130904184
ERR1456808,RTP11,2388,0.800479149682769,0.787408759124088
ERR1456809,RTP12,2388,0.762990730252717,0.761698022190063
ERR1456810,RTP2,2388,0.791434446205191,0.757671480144404
ERR1456811,RTP3,2388,0.785106460088694,0.812952898550725
ERR1456812,RTP4,2388,0.771687536544801,0.692095588235294
ERR1456813,RTP5,2388,0.768811914565084,0.792546026044005
ERR1456814,RTP6,2388,0.792913555938641,0.796791443850267
ERR1456815,RTP7,2388,0.728092990019066,0.721845318860244
ERR1456816,RTP9,2388,0.796247182453379,0.801693404634581
