	BulkRAG1	BulkRAG2	BulkRAG3	BulkTP1	BulkTP2	BulkTP3	RAG1	RAG10	RAG12	RAG2	RAG3	RAG4	RAG5	RAG6	RAG7	RAG8	RTP1	RTP10	RTP11	RTP12	RTP2	RTP3	RTP4	RTP5	RTP6	RTP7	RTP9
K01907	1177.6898436027639	1428.3240997229796	1642.0588785500895	1060.1476818965602	1163.608464931964	1077.9288897332576	1574.7953753344875	1388.4809484392792	1325.3906989615714	1415.5832617644714	1358.2374328388746	1569.53018729729	1790.4885360123967	1615.6715563997893	1346.094307367171	1561.6172260345827	1083.2327893684587	1078.8697436281577	1016.721074534654	1279.418201407365	1021.5068606609552	1218.7211290861608	1076.5953979911585	1012.5460787571549	802.8570637579387	990.5480858961485	912.5039107310291
K00825	0.0	0.0	0.0	0.0	0.0	4.1299957461046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K01872	2720.463538722547	3003.8088642660673	3429.616645072887	3040.0750599335724	3347.6120452657838	3270.956630914775	3322.3739423201846	3129.4224453286784	3196.958883758972	3091.775994314056	3612.726777142998	3316.9404624883905	2069.999189824212	3414.4220427032888	3199.217470509469	3269.2393146659733	3575.548881980594	3355.0978154447794	3244.5363702061723	3063.8699033703556	3331.4007527862805	3361.3115011893674	3363.633189399483	3364.6062408700823	3737.43805542498	3388.717135960666	3884.659505683724
K14157	0.0	0.0	0.0	0.0	0.0	0.0	4.936662618603594	5.340311340151434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.613541290545154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K09841	0.0	0.0	0.0	0.0	2.5573812416087303	16.519982984418384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.983926835954315	0.0	4.601382255229719	0.0	5.8194345837361565	15.821032480580559	0.0	0.0	0.0
K13524	23.553796872057077	0.0	0.0	11.08168308602773	0.0	12.389987238313763	0.0	0.0	0.0	35.53765510705899	4.6198552137378535	10.463534581982401	0.0	18.307892990366515	8.973962049114965	0.0	17.613541290545154	0.0	9.96785367190863	0.0	9.202764510459438	0.0	5.8194345837361565	5.273677493526845	0.0	0.0	0.0
K09689	58.88449218014259	43.28254847645671	27.71407389957961	14.775577448036941	15.34428744965244	16.519982984418384	74.04993927905392	42.72249072121143	14.564732955622084	5.9229425178431585	50.818407351116385	26.158836454956003	8.101758081504126	22.88486623795806	26.921886147344924	25.392150016823642	0.0	18.7087238779453	19.93570734381726	11.222966679012469	4.601382255229719	0.0	23.27773833494467	0.0	0.0	10.42682195680221	13.035770153301117
K10107	70.66139061617112	51.939058171747995	27.71407389957961	3.69389436200925	12.786906208043701	0.0	24.683313093017972	10.680622680302909	14.564732955622084	17.768827553529494	4.6198552137378535	10.463534581982401	12.152637122256156	22.88486623795806	40.38282922101733	31.74018752102958	0.0	6.236241292648433	0.0	11.222966679012469	13.804146765689147	0.0	0.0	0.0	0.0	10.42682195680221	0.0
K09688	23.553796872057077	8.656509695291343	27.71407389957961	0.0	5.11476248321747	0.0	4.936662618603594	10.680622680302909	7.282366477811022	11.845885035686296	23.099276068689267	10.463534581982401	0.0	0.0	8.973962049114965	0.0	0.0	0.0	0.0	11.222966679012469	0.0	0.0	0.0	10.547354987053671	27.684726336481535	15.640232935203263	0.0
K11050	0.0	0.0	6.928518474894887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.486981024557487	0.0	8.806770645272566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K09691	1319.0126248351714	1229.2243767313685	1170.9196222571638	1218.9851394629693	1230.1003772137674	1259.6487025618674	1327.9622444042739	1308.3762783370746	1143.3315370162616	1178.6655610507594	1141.1042377931628	1245.1606152558716	635.9880093980344	1075.5887131839593	1198.0239335567633	1364.8280634042724	1241.7546609833673	1465.5167037723786	1236.0138553166655	942.7292010370478	1288.3870314642697	1592.200184773879	1373.3865617616748	1191.8511135370645	913.595969103844	1282.4991006866626	1355.7200959432432
K09690	529.9604296212287	415.51246537392313	408.7825900187223	583.6353091974331	667.4765040598367	565.8094172163303	592.399514232333	560.732690715832	619.0011506139333	337.60772351701706	549.7627704347301	549.3355655540315	392.9352669529212	503.4670572350279	596.7684762661315	431.6665502859229	669.3145690406362	449.009373070624	578.1355129706308	460.1416338394233	727.0183963262393	294.8518860692147	587.762892957332	611.7465892490331	429.1132582154207	542.1947417536264	469.287725518815
K10013	0.0	0.0	20.78555542468463	0.0	5.11476248321747	0.0	4.936662618603594	10.680622680302909	0.0	5.9229425178431585	0.0	5.2317672909912005	0.0	0.0	13.46094307367241	0.0	0.0	6.236241292648433	4.983926835954315	0.0	0.0	0.0	0.0	15.821032480580559	0.0	0.0	0.0
