Tax4fun2 beta
Tue Nov 11 16:58:59 2025
Unknown fraction (amount of otus unused in the prediction) for each sample:
ERR1456790: 0.71161
ERR1456791: 0.69742
ERR1456792: 0.71557
ERR1456793: 0.68462
ERR1456794: 0.67956
ERR1456795: 0.73469
ERR1456796: 0.73228
ERR1456797: 0.62687
ERR1456798: 0.71429
ERR1456799: 0.7
ERR1456800: 0.69767
ERR1456801: 0.64341
ERR1456802: 0.69863
ERR1456803: 0.73485
ERR1456804: 0.64948
ERR1456805: 0.66667
ERR1456806: 0.72464
ERR1456807: 0.67717
ERR1456808: 0.77253
ERR1456809: 0.4
ERR1456810: 0.63786
ERR1456811: 0.675
ERR1456812: 0.62557
ERR1456813: 0.64626
ERR1456814: 0.67347
ERR1456815: 0.3244
ERR1456816: 0.69375
ERR1456817: 0.24409
ERR1456818: 1
ERR1456819: 0.66045
ERR1456821: 0.66049
ERR1456822: 0.63547
ERR1456823: 0.65683
ERR1456824: 0.65054
ERR1456825: 0.28571
ERR1456826: 0.47458
ERR1456827: 0.57292
ERR1456828: 0.53333
ERR1456829: 0.48855
Unknown fraction (amount of sequences unused in the prediction) for each sample:
ERR1456790: 0.5399
ERR1456791: 0.55447
ERR1456792: 0.59192
ERR1456793: 0.4487
ERR1456794: 0.57014
ERR1456795: 0.56674
ERR1456796: 0.54622
ERR1456797: 0.46501
ERR1456798: 0.53321
ERR1456799: 0.56736
ERR1456800: 0.56953
ERR1456801: 0.51164
ERR1456802: 0.49624
ERR1456803: 0.53454
ERR1456804: 0.38243
ERR1456805: 0.50971
ERR1456806: 0.51072
ERR1456807: 0.52033
ERR1456808: 0.56999
ERR1456809: 0.2851
ERR1456810: 0.54068
ERR1456811: 0.36514
ERR1456812: 0.52926
ERR1456813: 0.53448
ERR1456814: 0.55951
ERR1456815: 0.09228
ERR1456816: 0.61731
ERR1456817: 0.08104
ERR1456818: 1
ERR1456819: 0.5542
ERR1456821: 0.55793
ERR1456822: 0.52355
ERR1456823: 0.56526
ERR1456824: 0.60518
ERR1456825: 0.23722
ERR1456826: 0.39159
ERR1456827: 0.41993
ERR1456828: 0.5974
ERR1456829: 0.4526
