sample,group,spearman,jaccard
ERR1456790,RAG,0.740868254097236,0.894359464627151
ERR1456791,RAG,0.742065030881053,0.882380727444497
ERR1456792,RAG,0.743648555367901,0.903801032379165
ERR1456793,BULK,0.738487587823646,0.85027000490918
ERR1456794,BULK,0.747069626859353,0.918452935694315
ERR1456795,BULK,0.738765942672179,0.89543099387659
ERR1456796,RAG,0.741910352353035,0.876478939895883
ERR1456797,RAG,0.734312011884928,0.837602459016394
ERR1456798,RAG,0.743223703180094,0.887996219281664
ERR1456799,RAG,0.747883229583666,0.900609470229723
ERR1456800,RAG,0.74729598591662,0.902496467263307
ERR1456801,RAG,0.738105426392244,0.864227250842561
ERR1456802,RAG,0.747868838912224,0.879558541266795
ERR1456803,RAG,0.741787837901854,0.880625296068214
ERR1456804,RAG,0.759441770581946,0.884469696969697
ERR1456805,RAG,0.75134789064079,0.87719298245614
ERR1456806,RTP,0.743798171718809,0.867915465898175
ERR1456807,RTP,0.74509396283479,0.886997635933806
ERR1456808,RTP,0.742090995444152,0.859808612440191
ERR1456809,RTP,0.740082027364054,0.817577925396014
ERR1456810,RTP,0.751962299058271,0.9
ERR1456811,RTP,0.773581004526785,0.874820831342571
ERR1456812,RTP,0.77068747066767,0.920300046882325
ERR1456813,RTP,0.751163527729344,0.887404580152672
ERR1456814,RTP,0.758183936612918,0.912222746578575
ERR1456815,RTP,0.814955045091888,0.917608286252354
ERR1456816,RTP,0.758090703412073,0.91943793911007
