ERR,shotgun_id,nKO,spearman,jaccard
ERR1456791,BulkRAG2,2232,0.672532996216007,0.765473887814313
ERR1456792,BulkRAG3,2232,0.692778402497561,0.793882352941177
ERR1456793,BulkTP1,2232,0.679714331080552,0.80440097799511
ERR1456794,BulkTP2,2232,0.695345630674771,0.834569045412419
ERR1456795,BulkTP3,2232,0.702506726418303,0.84414372375175
ERR1456796,RAG1,2232,0.704935607106507,0.824452901998097
ERR1456797,RAG10,2232,0.676498725795129,0.790291262135922
ERR1456798,RAG12,2232,0.699118787748818,0.820113314447592
ERR1456799,RAG2,2232,0.685921321339252,0.794592030360531
ERR1456800,RAG3,2232,0.700173180239999,0.832940066068901
ERR1456801,RAG4,2232,0.683836816551934,0.814218009478673
ERR1456802,RAG5,2232,0.686625092446963,0.820621468926554
ERR1456803,RAG6,2232,0.693432091663454,0.801534036433365
ERR1456804,RAG7,2232,0.679829473649916,0.825059101654846
ERR1456805,RAG8,2232,0.690391680396166,0.828679602460956
ERR1456806,RTP1,2232,0.680910127544953,0.801728276524244
ERR1456807,RTP10,2232,0.693062279626485,0.783421178725443
ERR1456808,RTP11,2232,0.70645484236642,0.803949903660886
ERR1456809,RTP12,2232,0.687833298335299,0.798736023334954
ERR1456810,RTP2,2232,0.716112037306403,0.783524904214559
ERR1456811,RTP3,2232,0.726342092779527,0.816326530612245
ERR1456812,RTP4,2232,0.704855205327172,0.703353802550779
ERR1456813,RTP5,2232,0.717787379366886,0.815751789976134
ERR1456814,RTP6,2232,0.719752312478037,0.825943396226415
ERR1456815,RTP7,2232,0.642651814222315,0.737891737891738
ERR1456816,RTP9,2232,0.727845262156511,0.824790307548928
