group,n,mean,sd,median,q25,q75,min,max,method,metric
RAG,13,0.678823385644821,0.0126591122956703,0.683344762619684,0.666253710805379,0.685134893546402,0.661963600983149,0.697117478262425,Tax4Fun2 vs Shotgun,Spearman
BULK,3,0.688961324743749,0.00893013369094962,0.69406190767628,0.686355899383296,0.694117041570469,0.678649891090311,0.694172175464657,Tax4Fun2 vs Shotgun,Spearman
RTP,11,0.693886284811455,0.0208776635914269,0.69515301938218,0.686609948785354,0.709742716309283,0.647550593099684,0.717910018007629,Tax4Fun2 vs Shotgun,Spearman
RAG,13,0.817314461193766,0.0209886283202445,0.81870781099325,0.803666184273999,0.835106382978723,0.777723497801661,0.84472049689441,Tax4Fun2 vs Shotgun,Jaccard
BULK,3,0.839907848057972,0.0204936191768928,0.830938697318008,0.828183285089322,0.84714783565664,0.825427872860636,0.863356973995272,Tax4Fun2 vs Shotgun,Jaccard
RTP,11,0.797683547331277,0.0393554403383996,0.814043583535109,0.769355181285872,0.829634703196347,0.721506442021804,0.836744639376218,Tax4Fun2 vs Shotgun,Jaccard
RAG,13,0.744596837514892,0.00633022760360034,0.743223703180094,0.741787837901854,0.747868838912224,0.734312011884928,0.759441770581946,PICRUSt2 vs Tax4Fun2,Spearman
BULK,3,0.741441052451726,0.00487647493093839,0.738765942672179,0.738626765247913,0.742917784765766,0.738487587823646,0.747069626859353,PICRUSt2 vs Tax4Fun2,Spearman
RTP,11,0.759062649496432,0.021588970444848,0.751962299058271,0.7444460672768,0.764435703640294,0.740082027364054,0.814955045091888,PICRUSt2 vs Tax4Fun2,Spearman
RAG,13,0.882446042133938,0.0177541634758798,0.882380727444497,0.87719298245614,0.894359464627151,0.837602459016394,0.903801032379165,PICRUSt2 vs Tax4Fun2,Jaccard
BULK,3,0.888051311493362,0.0346853397946542,0.89543099387659,0.872850499392885,0.906941964785452,0.85027000490918,0.918452935694315,PICRUSt2 vs Tax4Fun2,Jaccard
RTP,11,0.887644915453341,0.0315754704707513,0.887404580152672,0.871368148620373,0.914915516415465,0.817577925396014,0.920300046882325,PICRUSt2 vs Tax4Fun2,Jaccard
